"Node","Case","FX","FY","FZ","MX","MY","MZ"
8,109,-1.0172,-61.072,-106.95,-0.44420E-02,0,0
9,109,0.68866,47.699,86.478,-0.42356E-02,0,0
10,109,-0.30564,54.445,82.369,-0.30679E-02,0,0
1,110,-0.78845E-01,0.60163,-482.94,0,0,0
2,110,-33.425,1.3837,1039.1,0,0,0
3,110,1.6831,0.53471,606.14,0,0,0
4,110,1.6279,1.2087,606.14,0,0,0
5,110,-0.88638,0.44034E-01,-324.06,0,0,0
6,110,-0.90220,0.71535,-324.06,0,0,0
7,110,0.43853,-65.832,-98.383,-0.42156E-02,0,0
8,110,-0.99427,-58.148,-103.09,-0.58145E-02,0,0
9,110,0.94799,55.841,101.03,-0.58601E-02,0,0
10,110,-0.41084,63.650,96.276,-0.42798E-02,0,0
1,111,-0.18066,0.79626,-822.42,0,0,0
2,111,-28.147,0.18425,262.04,0,0,0
3,111,2.0315,0.83223,767.39,0,0,0
4,111,1.9430,1.4551,767.39,0,0,0
5,111,0.13187,-0.35482,53.262,0,0,0
6,111,0.13144,0.26277,53.263,0,0,0
7,111,0.33434,-58.713,-87.646,-0.36121E-02,0,0
8,111,-0.80370,-51.840,-91.853,-0.48868E-02,0,0
9,111,1.0995,62.101,110.53,-0.52073E-02,0,0
10,111,-0.54049,69.276,106.16,-0.36121E-02,0,0
1,112,-0.57139E-01,0.28634,-516.58,0,0,0
2,112,-3.9037,-0.83800,-508.81,0,0,0
3,112,1.1607,0.52254,610.80,0,0,0
4,112,1.1046,0.97854,610.80,0,0,0
5,112,0.81377,-0.44646,432.79,0,0,0
6,112,0.78564,0.42785E-02,432.79,0,0,0
7,112,0.26911,-49.406,-74.957,-0.17027E-02,0,0
8,112,-0.55570,-44.738,-77.813,-0.24396E-02,0,0
9,112,0.94058,60.300,105.08,-0.27493E-02,0,0
10,112,-0.55784,65.336,102.01,-0.16787E-02,0,0
1,113,-0.23785E-01,-0.69332E-01,253.91,0,0,0
2,113,22.347,-0.80565,-817.79,0,0,0
3,113,0.23214,0.44769E-01,229.27,0,0,0
4,113,0.22425,0.32543,229.27,0,0,0
5,113,0.61595,-0.28695,590.19,0,0,0
6,113,0.56362,-0.99654E-02,590.19,0,0,0
7,113,0.26402,-43.567,-67.958,-0.41888E-03,0,0
8,113,-0.40345,-41.109,-69.461,-0.76784E-03,0,0
9,113,0.65903,53.368,91.091,-0.89998E-03,0,0
10,113,-0.47902,56.110,89.417,-0.39190E-03,0,0
1,114,-0.27628,-0.31132,1033.5,0,0,0
2,114,31.957,-0.30557,-482.34,0,0,0
3,114,-0.87721E-01,-0.18513,-151.32,0,0,0
4,114,-0.91175E-01,0.24847E-01,-151.32,0,0,0
5,114,0.26253,-0.22459,431.76,0,0,0
6,114,0.23453,-0.15151E-01,431.76,0,0,0
7,114,0.35105,-46.836,-74.267,-0.10686E-03,0,0
8,114,-0.43867,-45.186,-75.275,-0.36163E-03,0,0
9,114,0.45573,45.643,77.330,-0.37271E-03,0,0
10,114,-0.36746,47.396,76.260,-0.96494E-04,0,0
1,115,-0.44035,-0.82327,1372.4,0,0,0
2,115,24.873,0.15164,297.34,0,0,0
3,115,-0.23288,-0.28659,-311.03,0,0,0
4,115,-0.24745,-0.16089E-01,-311.03,0,0,0
5,115,0.38620E-01,-0.16479,52.821,0,0,0
6,115,0.38205E-01,0.10824,52.821,0,0,0
7,115,0.46766,-54.787,-86.272,-0.24348E-03,0,0
8,115,-0.60190,-52.225,-87.837,-0.70384E-03,0,0
9,115,0.38910,40.776,70.229,-0.62298E-03,0,0
10,115,-0.28390,43.266,68.711,-0.26830E-03,0,0
1,116,-0.58403E-01,0.35576,543.98,0,0,0
2,116,0.47306E-01,0.30835,544.64,0,0,0
3,116,-0.34549E-02,0.26510E-01,39.372,0,0,0
4,116,-0.36851E-02,0.18585E-01,39.372,0,0,0
5,116,-0.34789E-02,0.18300E-01,39.816,0,0,0
6,116,-0.37144E-02,0.27385E-01,39.816,0,0,0
7,116,0.30699,-40.140,-65.233,-0.12800E-04,0,0
8,116,-0.29425,-40.221,-65.184,-0.19038E-05,0,0
9,116,0.30721,-40.243,-65.207,0.28534E-05,0,0
10,116,-0.29452,-40.151,-65.263,-0.96100E-05,0,0
1,117,0.32791E-01,-0.52470E-02,166.94,0,0,0
2,117,-116.11,0.60185,748.29,0,0,0
3,117,0.26456,0.67943E-01,206.84,0,0,0
4,117,0.25814,0.33620,206.84,0,0,0
5,117,-0.99453E-01,-0.13838,-75.827,0,0,0
6,117,-0.10032,0.14356,-75.827,0,0,0
7,117,0.46323,-57.259,-89.713,-0.64034E-03,0,0
8,117,-0.69655,-54.249,-91.554,-0.12037E-02,0,0
9,117,-0.45258E-02,-4.3420,-2.9747,-0.95140E-03,0,0
10,117,-0.69637E-02,-1.1567,-4.9186,-0.97870E-03,0,0
1,118,-0.57885E-01,0.10476,-162.64,0,0,0
2,118,-160.84,0.29679,651.20,0,0,0
3,118,0.60076,0.73629E-01,322.94,0,0,0
4,118,0.58510,0.45594,322.94,0,0,0
5,118,-0.14181,-0.14569,-74.597,0,0,0
6,118,-0.14265,0.23805,-74.597,0,0,0
7,118,0.14356,-39.228,-58.836,-0.16108E-02,0,0
8,118,-0.36821,-34.973,-61.437,-0.21398E-02,0,0
9,118,0.36624,34.399,61.905,-0.21858E-02,0,0
10,118,-0.14486,38.779,59.234,-0.16420E-02,0,0
